Rawfiles	Experiment	grouping
Xu_MLIspin_test_B6	Xu_MLIspin_test_B6	group_A
Xu_MLIspin_test_B7	Xu_MLIspin_test_B7	group_A
Xu_MLIspin_test_B8	Xu_MLIspin_test_B8	group_A
Xu_MLIspin_test_B9	Xu_MLIspin_test_B9	group_A
Xu_MLIspin_test_C6	Xu_MLIspin_test_C6	group_A
Xu_MLIspin_test_C7	Xu_MLIspin_test_C7	group_A
Xu_MLIspin_test_C8	Xu_MLIspin_test_C8	group_A
Xu_MLIspin_test_C9	Xu_MLIspin_test_C9	group_A
Xu_MLIspin_test_D6	Xu_MLIspin_test_D6	group_B
Xu_MLIspin_test_D7	Xu_MLIspin_test_D7	group_B
Xu_MLIspin_test_D8	Xu_MLIspin_test_D8	group_B
Xu_MLIspin_test_D9	Xu_MLIspin_test_D9	group_B
Xu_MLIspin_test_E6	Xu_MLIspin_test_E6	group_B
Xu_MLIspin_test_E7	Xu_MLIspin_test_E7	group_B
Xu_MLIspin_test_E8	Xu_MLIspin_test_E8	group_B
Xu_MLIspin_test_E9	Xu_MLIspin_test_E9	group_B
Xu_MLIspin_test_F6	Xu_MLIspin_test_F6	group_C
Xu_MLIspin_test_F7	Xu_MLIspin_test_F7	group_C
Xu_MLIspin_test_F8	Xu_MLIspin_test_F8	group_C
Xu_MLIspin_test_F9	Xu_MLIspin_test_F9	group_C
Xu_MLIspin_test_G6	Xu_MLIspin_test_G6	group_C
Xu_MLIspin_test_G7	Xu_MLIspin_test_G7	group_C
Xu_MLIspin_test_G8	Xu_MLIspin_test_G8	group_C
Xu_MLIspin_test_G9	Xu_MLIspin_test_G9	group_C
