Protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity P1_GLU	Intensity P10_FOS	Intensity P11_CYC	Intensity P12_GLU	Intensity P13_PBS	Intensity P14_CYC	Intensity P2_GLU	Intensity P3_PBS	Intensity P4_BAS1	Intensity P5_CYC	Intensity P6_FOS	Intensity P7_FOS	Intensity P8_PBS	Intensity P9_BAS2	Only identified by site	Reverse	Potential contaminant	id
MH0277_GL0054687;DLM016_GL0067211;T2D-132A_GL0041028;MH0260_GL0050551;MH0093_GL0076736;290338.CKO_03079;V1.CD3-0-PT_GL0075614;T2D-45A_GL0143625;888063.HMPREF9086_0127;716541.ECL_05057;585054.EFER_3854;469613.HMPREF0864_03937;469595.CSAG_04563;1045856.EcWSU1_04442;1033813.ECNA114_4058;1028307.EAE_06480;1006551.KOX_06045;V1.CD3-0-PT_GL0005375	1	1	2.6019	17543000	0	0	2989900	0	1615300	3696300	0	3924000	0	2450500	0	0	2866700	0				0
469613.HMPREF0864_04080;1006551.KOX_07995;T2D-62A_GL0035000	1	1	2.1102	229620000	0	10793000	30214000	0	24165000	35620000	12035000	37086000	0	31035000	0	10228000	34995000	3446500				1
MH0247_GL0034565;V1.UC21-4_GL0122741;SZEY-63A_GL0035480;NLM027_GL0089806;MH0179_GL0032943;469595.CSAG_03285;1045856.EcWSU1_00596;1006551.KOX_10320;NLM003_GL0033911;T2D-108A_GL0102554;T2D-46A_GL0017675;V1.CD3-0-PT_GL0036839;SZEY-22A_GL0046743;290338.CKO_03407;469613.HMPREF0864_02963;V1.UC39-4_GL0145581	2	2	5.3087	294540000	0	0	50260000	0	37772000	49042000	0	57830000	0	26665000	11180000	2621800	59169000	0				2
MH0260_GL0006469;O2.UC21-2_GL0038933;MH0277_GL0019947;MH0204_GL0129584;1006551.KOX_22375;NLM027_GL0053445	1	1	2.1285	65801000	9566800	0	0	0	6236300	0	9738200	0	13416000	5734900	0	11434000	0	9675400				3
MH0260_GL0109467;1006551.KOX_23025;585054.EFER_1714;469595.CSAG_01557;MH0277_GL0011541;290338.CKO_01318;T2D-108A_GL0153605;SZEY-40A_GL0030963;1045856.EcWSU1_02588;888063.HMPREF9086_2645;T2D-132A_GL0071803;521000.PROVRETT_05601;T2D-77A_GL0025995;V1.CD3-0-PT_GL0022757;V1.CD7-0-PN_GL0038824;469613.HMPREF0864_01478	8	0	2.5283	107290000	0	0	13532000	0	16256000	22120000	0	22559000	0	14426000	0	0	18394000	0				4
1042403.BALAC2494_00515	2	1	3.6881	152850000	13618000	30222000	0	8133500	0	10866000	15200000	8563700	0	6203100	32205000	16069000	11773000	0				5
MH0345_GL0148067;V1.CD40-0_GL0001809;V1.CD7-0-PN_GL0020495;V1.CD1-0-PT_GL0007265;O2.UC34-2_GL0087781;518635.BIFANG_03769;MH0440_GL0107938;MH0362_GL0004571;MH0193_GL0178152;MH0131_GL0008268;V1.UC60-0_GL0159642;1042403.BALAC2494_00614	1	1	6.1227	29097000	0	0	0	0	10350000	0	0	0	12614000	0	0	0	0	6132500				6
T2D-109A_GL0159599;V1.UC13-0_GL0061272;V1.UC11-5_GL0183010;518635.BIFANG_03668;V1.CD7-0-PN_GL0040392;V1.CD7-0-PN_GL0003676;V1.CD40-0_GL0174378;O2.UC8-2_GL0128201;MH0341_GL0005978;367928.BAD_0277;N049A_GL0089920;1042403.BALAC2494_00788;391904.BLIJ_0369;326426.Bbr_1683;469594.HMPREF0177_00401	1	1	1.6549	45855000	5435400	0	0	5328200	3451400	0	6289700	0	7625600	0	0	4629100	4586300	8509500				7
V1.UC60-0_GL0158719;1042403.BALAC2494_01402;MH0327_GL0006401;MH0272_GL0226455;367928.BAD_1294;401473.BDP_1752;518635.BIFANG_02548;944560.HMPREF9058_1656;DLF012_GL0016383;V1.CD36-0_GL0117988;V1.CD7-0-PN_GL0007511;V1.FI05_GL0057378	1	1	2.7587	578370000	42005000	11068000	58436000	39173000	63275000	57117000	56478000	55080000	9559900	52883000	34601000	30093000	63811000	4787400				8
V1.CD35-0_GL0044518;O2.UC37-0_GL0040837;HT8A_GL0097902;195102.CPE0903;T2D-62A_GL0053634;SZEY-10A_GL0027684;V1.UC55-0_GL0199284;T2D-11A_GL0106848;V1.UC11-5_GL0112510;V1.FI18_GL0100953;V1.FI17_GL0031221;O2.CD3-0-PT_GL0021748;T2D-68A_GL0029207;O2.UC19-1_GL0072152;T2D-46A_GL0018242;411467.BACCAP_01557;411467.BACCAP_01544;MH0277_GL0055128;MH0108_GL0068773	2	0	5.1868	168970000	0	0	18352000	0	25455000	25033000	0	24892000	16818000	19730000	0	0	27249000	11443000				9
