Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Zikai_Growth_stage_metformin_test_20190517_PA1_01	Zikai_Growth_stage_metformin_test_20190517_PA1_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12474	19204	0	20675	17733	0	2942	6446	6341	0	105	31.18	35.76	NaN	3.57	6030	1328691	18133	1.36	902	4.97	114768	16101	15865	14.03	15.61	1462	9.08	+	0.8126	1.1192	0.53652	0.76567	
Zikai_Growth_stage_metformin_test_20190517_PA1_02	Zikai_Growth_stage_metformin_test_20190517_PA1_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11763	23643	0	25612	21674	0	3938	8565	8275	0	290	33.44	38.18	NaN	7.36	7679	1215667	22365	1.84	1121	5.01	110135	19539	19248	17.74	19.63	1910	9.78	+	0.85615	1.1676	0.57375	0.81516	
Zikai_Growth_stage_metformin_test_20190517_PA1_03	Zikai_Growth_stage_metformin_test_20190517_PA1_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11343	25913	0	28280	23546	0	4734	7990	7796	0	194	28.25	33.11	NaN	4.1	7145	1174337	24444	2.08	1288	5.27	108017	21099	20818	19.53	21.78	2237	10.6	+	0.86142	1.1788	0.58148	0.82534	
Zikai_Growth_stage_metformin_test_20190517_PA2_01	Zikai_Growth_stage_metformin_test_20190517_PA2_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10318	30424	0	33202	27646	0	5556	10043	9719	0	324	30.25	35.16	NaN	5.83	8920	1032809	28544	2.76	1707	5.98	102788	24290	24042	23.63	26.25	2977	12.26	+	0.8879	1.2144	0.60488	0.85737	
Zikai_Growth_stage_metformin_test_20190517_PA2_02	Zikai_Growth_stage_metformin_test_20190517_PA2_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		9813	32208	0	36063	28353	0	7710	11013	10738	0	275	30.54	37.87	NaN	3.57	9861	1014409	30086	2.97	1692	5.62	102348	24930	24568	24.36	26.45	3024	12.13	+	0.86381	1.1821	0.58361	0.83201	
Zikai_Growth_stage_metformin_test_20190517_PA2_03	Zikai_Growth_stage_metformin_test_20190517_PA2_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		9911	31898	0	35104	28692	0	6412	11213	10842	0	371	31.94	37.79	NaN	5.79	9982	968798	29928	3.09	1712	5.72	99001	25197	24863	25.45	27.72	3088	12.26	+	0.85476	1.1769	0.58357	0.83624	
Zikai_Growth_stage_metformin_test_20190517_PA2_03_20190608073409	Zikai_Growth_stage_metformin_test_20190517_PA2_03_20190608073409	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10405	30024	0	32912	27136	0	5776	10239	9876	0	363	31.11	36.39	NaN	6.28	9148	997456	28046	2.81	1694	6.04	99874	23764	23506	23.79	26.21	2982	12.55	+	0.85754	1.1856	0.57874	0.8303	
Zikai_Growth_stage_metformin_test_20190517_PA2_03_20190610015142	Zikai_Growth_stage_metformin_test_20190517_PA2_03_20190610015142	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10345	30003	0	32657	27349	0	5308	9794	9476	0	318	29.99	34.65	NaN	5.99	8714	1035540	28125	2.72	1694	6.02	103565	23985	23756	23.16	25.89	2993	12.48	+	0.87388	1.2001	0.59717	0.8512	
Zikai_Growth_stage_metformin_test_20190517_PA2_03_20190612145122	Zikai_Growth_stage_metformin_test_20190517_PA2_03_20190612145122	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10628	28630	0	31071	26189	0	4882	8729	8490	0	239	28.09	32.42	NaN	4.9	7783	1068874	26887	2.52	1542	5.74	106654	23207	22956	21.76	24.19	2635	11.35	+	0.85116	1.1699	0.57443	0.81678	
Zikai_Growth_stage_metformin_test_20190517_PA3_01	Zikai_Growth_stage_metformin_test_20190517_PA3_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11008	26775	0	29027	24523	0	4504	9458	9141	0	317	32.58	37.28	NaN	7.04	8581	1123572	25120	2.24	1503	5.98	109743	21705	21517	19.78	22.31	2517	11.6	+	0.8424	1.1696	0.55798	0.80232	
Zikai_Growth_stage_metformin_test_20190517_PA3_02	Zikai_Growth_stage_metformin_test_20190517_PA3_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10346	30133	0	32911	27355	0	5556	11410	11096	0	314	34.67	40.56	NaN	5.65	10262	1011935	28332	2.8	1609	5.68	103563	24075	23830	23.25	25.6	2930	12.17	+	0.85349	1.1849	0.57089	0.82085	
Zikai_Growth_stage_metformin_test_20190517_PA3_03	Zikai_Growth_stage_metformin_test_20190517_PA3_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10920	27135	0	29262	25008	0	4254	9909	9580	0	329	33.86	38.31	NaN	7.73	9017	1148183	25526	2.22	1487	5.83	111387	22144	21943	19.88	22.36	2546	11.5	+	0.86844	1.1998	0.57764	0.82179	
Zikai_Growth_stage_metformin_test_20190517_PA4_01	Zikai_Growth_stage_metformin_test_20190517_PA4_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11782	23353	0	25016	21690	0	3326	8868	8593	0	275	35.45	39.62	NaN	8.27	8175	1228496	22002	1.79	1227	5.58	116804	19417	19252	16.62	18.53	2024	10.42	+	0.86313	1.1851	0.57344	0.81472	
Zikai_Growth_stage_metformin_test_20190517_PA4_02	Zikai_Growth_stage_metformin_test_20190517_PA4_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10514	29529	0	32180	26878	0	5302	11377	11070	0	307	35.35	41.19	NaN	5.79	10279	1065194	27857	2.62	1532	5.5	105240	23821	23590	22.63	25.02	2712	11.38	+	0.87032	1.1992	0.58569	0.83369	
Zikai_Growth_stage_metformin_test_20190517_PA4_03	Zikai_Growth_stage_metformin_test_20190517_PA4_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11055	27196	0	29642	24750	0	4892	11758	11332	0	426	39.67	45.79	NaN	8.71	10656	1141207	25637	2.25	1376	5.37	110135	21961	21762	19.94	22.05	2482	11.3	+	0.85166	1.1851	0.56828	0.82155	
Zikai_Growth_stage_metformin_test_20190517_PA5_01	Zikai_Growth_stage_metformin_test_20190517_PA5_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11431	25526	0	27673	23379	0	4294	9772	9460	0	312	35.31	40.46	NaN	7.27	8922	1226552	24052	1.96	1320	5.49	114483	20859	20645	18.22	20.31	2250	10.79	+	0.85508	1.1798	0.56992	0.8144	
Zikai_Growth_stage_metformin_test_20190517_PA5_02	Zikai_Growth_stage_metformin_test_20190517_PA5_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11528	25006	0	27033	22979	0	4054	9872	9525	0	347	36.52	41.45	NaN	8.56	9002	1174949	23651	2.01	1238	5.23	111006	20470	20280	18.44	20.6	2257	11.03	+	0.86462	1.1899	0.56557	0.80454	
Zikai_Growth_stage_metformin_test_20190517_PA5_03	Zikai_Growth_stage_metformin_test_20190517_PA5_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11437	25464	0	27626	23302	0	4324	10150	9805	0	345	36.74	42.08	NaN	7.98	9189	1159324	24087	2.08	1266	5.26	109009	20797	20592	19.08	21.02	2257	10.85	+	0.84261	1.1688	0.55139	0.79261	
Zikai_Growth_stage_metformin_test_20190517_PA6_01	Zikai_Growth_stage_metformin_test_20190517_PA6_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11391	25833	0	28041	23625	0	4416	9713	9400	0	313	34.64	39.79	NaN	7.09	8786	1194332	24405	2.04	1290	5.29	110895	21042	20848	18.97	21.14	2302	10.94	+	0.87461	1.1929	0.58149	0.82559	
Zikai_Growth_stage_metformin_test_20190517_PA6_02	Zikai_Growth_stage_metformin_test_20190517_PA6_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11162	26212	0	28409	24015	0	4394	8935	8680	0	255	31.45	36.14	NaN	5.8	8221	1178023	24886	2.11	1206	4.85	114457	21518	21287	18.8	20.82	2254	10.47	+	0.87844	1.2009	0.5955	0.84553	
Zikai_Growth_stage_metformin_test_20190517_PA6_03	Zikai_Growth_stage_metformin_test_20190517_PA6_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11223	26544	0	28993	24095	0	4898	10297	9957	0	340	35.52	41.32	NaN	6.94	9307	1179625	24997	2.12	1295	5.18	110992	21449	21224	19.32	21.4	2346	10.94	+	0.85239	1.1766	0.5635	0.80456	
Zikai_Growth_stage_metformin_test_20190517_PL1_01	Zikai_Growth_stage_metformin_test_20190517_PL1_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10929	27878	0	30311	25445	0	4866	10039	9793	0	246	33.12	38.49	NaN	5.06	9050	1107185	26119	2.36	1606	6.15	106166	22383	22138	21.08	23.38	2717	12.14	+	0.86742	1.193	0.58005	0.82536	
Zikai_Growth_stage_metformin_test_20190517_PL1_02	Zikai_Growth_stage_metformin_test_20190517_PL1_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		9944	31681	0	34626	28736	0	5890	10247	9925	0	322	29.59	34.54	NaN	5.47	9270	1010852	29789	2.95	1702	5.71	104435	25254	24996	24.18	27.23	3086	12.22	+	0.88376	1.2155	0.60849	0.87015	
Zikai_Growth_stage_metformin_test_20190517_PL1_03	Zikai_Growth_stage_metformin_test_20190517_PL1_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12293	21191	0	22547	19835	0	2712	8735	8491	0	244	38.74	42.81	NaN	9	7932	1246554	19870	1.59	1218	6.13	111020	17654	17484	15.9	17.71	1952	11.06	+	0.82081	1.144	0.53058	0.76446	
Zikai_Growth_stage_metformin_test_20190517_PL2_01	Zikai_Growth_stage_metformin_test_20190517_PL2_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11662	24298	0	26152	22444	0	3708	9909	9627	0	282	37.89	42.89	NaN	7.61	8885	1189660	22819	1.92	1362	5.97	109861	19907	19723	18.12	20.2	2279	11.45	+	0.83494	1.1599	0.54887	0.78752	
Zikai_Growth_stage_metformin_test_20190517_PL2_02	Zikai_Growth_stage_metformin_test_20190517_PL2_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11472	25180	0	27171	23189	0	3982	9749	9368	0	381	35.88	40.4	NaN	9.57	8834	1168042	23626	2.02	1416	5.99	108638	20540	20356	18.91	21.13	2360	11.49	+	0.82305	1.145	0.54531	0.78357	
Zikai_Growth_stage_metformin_test_20190517_PL2_03	Zikai_Growth_stage_metformin_test_20190517_PL2_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11132	26569	0	28772	24366	0	4406	11473	11065	0	408	39.88	45.41	NaN	9.26	10360	1141517	24948	2.19	1455	5.83	107422	21628	21378	20.13	22.14	2455	11.35	+	0.84014	1.1638	0.55734	0.80011	
Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190608042607	Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190608042607	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11096	26968	0	29400	24536	0	4864	10656	10309	0	347	36.24	42.02	NaN	7.13	9620	1081991	25220	2.33	1497	5.94	104884	21683	21436	20.67	22.76	2533	11.68	+	0.84979	1.1784	0.56046	0.80408	
