Raw file	Experiment	grouping1
20170922_Rachid_Colon_M#01	20170922_Rachid_Colon_M#01	condition1
20170922_Rachid_Colon_M#02	20170922_Rachid_Colon_M#02	condition1
20170922_Rachid_Colon_M#03	20170922_Rachid_Colon_M#03	condition1
20170922_Rachid_Colon_M#04	20170922_Rachid_Colon_M#04	condition1
20170922_Rachid_Colon_M#05	20170922_Rachid_Colon_M#05	condition1
20170922_Rachid_Colon_M#06	20170922_Rachid_Colon_M#06	condition1
20170922_Rachid_Colon_M#07	20170922_Rachid_Colon_M#07	condition1
20170922_Rachid_Colon_M#08	20170922_Rachid_Colon_M#08	condition1
20170922_Rachid_Colon_M#09	20170922_Rachid_Colon_M#09	condition1
20170922_Rachid_Colon_M#10	20170922_Rachid_Colon_M#10	condition1
20170922_Rachid_Colon_M#11	20170922_Rachid_Colon_M#11	condition1
20170922_Rachid_Colon_M#12	20170922_Rachid_Colon_M#12	condition1
20170922_Rachid_Colon_M#13	20170922_Rachid_Colon_M#13	condition1
20170922_Rachid_Colon_M#14	20170922_Rachid_Colon_M#14	condition1
20170922_Rachid_Colon_M#15	20170922_Rachid_Colon_M#15	condition1
20170922_Rachid_Colon_M#16	20170922_Rachid_Colon_M#16	condition1
20170922_Rachid_Colon_M#17	20170922_Rachid_Colon_M#17	condition1
20170922_Rachid_Colon_M#18	20170922_Rachid_Colon_M#18	condition1
20170922_Rachid_Colon_M#19	20170922_Rachid_Colon_M#19	condition2
20170922_Rachid_Colon_M#20	20170922_Rachid_Colon_M#20	condition2
20170922_Rachid_Colon_M#21	20170922_Rachid_Colon_M#21	condition2
20170922_Rachid_Colon_M#22	20170922_Rachid_Colon_M#22	condition2
20170922_Rachid_Colon_M#23	20170922_Rachid_Colon_M#23	condition2
20170922_Rachid_Colon_M#24	20170922_Rachid_Colon_M#24	condition2
20170922_Rachid_Colon_M#25	20170922_Rachid_Colon_M#25	condition2
20170922_Rachid_Colon_M#26	20170922_Rachid_Colon_M#26	condition2
20170922_Rachid_Colon_M#27	20170922_Rachid_Colon_M#27	condition2
20170922_Rachid_Colon_M#28	20170922_Rachid_Colon_M#28	condition2
20170922_Rachid_Colon_M#29	20170922_Rachid_Colon_M#29	condition2
20170922_Rachid_Colon_M#30	20170922_Rachid_Colon_M#30	condition2
20170922_Rachid_Colon_M#31	20170922_Rachid_Colon_M#31	condition2
20170922_Rachid_Colon_M#32	20170922_Rachid_Colon_M#32	condition2
20170922_Rachid_Colon_M#33	20170922_Rachid_Colon_M#33	condition2
20170922_Rachid_Colon_M#34	20170922_Rachid_Colon_M#34	condition2
20170922_Rachid_Colon_M#35	20170922_Rachid_Colon_M#35	condition2
20170922_Rachid_Colon_M#36	20170922_Rachid_Colon_M#36	condition2
20170922_Rachid_Colon_M#37	20170922_Rachid_Colon_M#37	condition2
20170922_Rachid_Colon_M#38	20170922_Rachid_Colon_M#38	condition3
20170922_Rachid_Colon_M#39	20170922_Rachid_Colon_M#39	condition3
20170922_Rachid_Colon_M#40	20170922_Rachid_Colon_M#40	condition3
20170922_Rachid_Colon_M#41	20170922_Rachid_Colon_M#41	condition3
20170922_Rachid_Colon_M#42	20170922_Rachid_Colon_M#42	condition3
20170922_Rachid_Colon_M#43	20170922_Rachid_Colon_M#43	condition3
20170922_Rachid_Colon_M#44	20170922_Rachid_Colon_M#44	condition3
20170922_Rachid_Colon_M#45	20170922_Rachid_Colon_M#45	condition3
20170922_Rachid_Colon_M#46	20170922_Rachid_Colon_M#46	condition3
20170922_Rachid_Colon_M#47	20170922_Rachid_Colon_M#47	condition3
20170922_Rachid_Colon_M#48	20170922_Rachid_Colon_M#48	condition3
20170922_Rachid_Colon_M#49	20170922_Rachid_Colon_M#49	condition3
20170922_Rachid_Colon_M#50	20170922_Rachid_Colon_M#50	condition3
20170922_Rachid_Colon_M#51	20170922_Rachid_Colon_M#51	condition3
20170922_Rachid_Colon_M#52	20170922_Rachid_Colon_M#52	condition3
20170922_Rachid_Colon_M#53	20170922_Rachid_Colon_M#53	condition3
20170922_Rachid_Colon_M#54	20170922_Rachid_Colon_M#54	condition3
20170922_Rachid_Colon_M#55	20170922_Rachid_Colon_M#55	condition3
20170922_Rachid_Colon_M#56	20170922_Rachid_Colon_M#56	condition3
20170922_Rachid_Colon_M#57	20170922_Rachid_Colon_M#57	condition3
20170922_Rachid_Colon_M#58	20170922_Rachid_Colon_M#58	condition3
20170922_Rachid_Colon_M#59	20170922_Rachid_Colon_M#59	condition3
20170922_Rachid_Colon_M#60	20170922_Rachid_Colon_M#60	condition3
20170922_Rachid_Colon_M#61	20170922_Rachid_Colon_M#61	condition3
20170922_Rachid_Colon_M#64	20170922_Rachid_Colon_M#64	condition3
20170922_Rachid_Colon_M#65	20170922_Rachid_Colon_M#65	condition3
20170922_Rachid_Colon_M#66	20170922_Rachid_Colon_M#66	condition3
20170922_Rachid_Colon_M#67	20170922_Rachid_Colon_M#67	condition3
20170922_Rachid_Colon_M#68	20170922_Rachid_Colon_M#68	condition3
20170922_Rachid_Colon_M#69	20170922_Rachid_Colon_M#69	condition3
20170922_Rachid_Colon_M#70	20170922_Rachid_Colon_M#70	condition3
20170922_Rachid_Colon_M#71	20170922_Rachid_Colon_M#71	condition3
20170922_Rachid_Colon_M#72	20170922_Rachid_Colon_M#72	condition3
20170922_Rachid_Colon_M#73	20170922_Rachid_Colon_M#73	condition3
20170922_Rachid_Colon_M#74	20170922_Rachid_Colon_M#74	condition3
20170922_Rachid_Colon_M#75	20170922_Rachid_Colon_M#75	condition3
20170922_Rachid_Colon_M#76	20170922_Rachid_Colon_M#76	condition3
20170922_Rachid_Colon_M#77	20170922_Rachid_Colon_M#77	condition3
20170922_Rachid_Colon_M#78	20170922_Rachid_Colon_M#78	condition3
20170922_Rachid_Colon_M#79	20170922_Rachid_Colon_M#79	condition3
20170922_Rachid_Colon_M#80	20170922_Rachid_Colon_M#80	condition3
20171206_Rachid_Colon_M#01	20171206_Rachid_Colon_M#01	condition3
20171206_Rachid_Colon_M#02	20171206_Rachid_Colon_M#02	condition3
20171206_Rachid_Colon_M#03	20171206_Rachid_Colon_M#03	condition3
20171206_Rachid_Colon_M#04	20171206_Rachid_Colon_M#04	condition3
20171206_Rachid_Colon_M#06	20171206_Rachid_Colon_M#06	condition3
20171206_Rachid_Colon_M#07	20171206_Rachid_Colon_M#07	condition3
20171206_Rachid_Colon_M#10	20171206_Rachid_Colon_M#10	condition3
20171206_Rachid_Colon_M#14	20171206_Rachid_Colon_M#14	condition3
20171206_Rachid_Colon_M#16	20171206_Rachid_Colon_M#16	condition3
20171206_Rachid_Colon_M#18	20171206_Rachid_Colon_M#18	condition3
20171206_Rachid_Colon_M#19	20171206_Rachid_Colon_M#19	condition3
20171206_Rachid_Colon_M#20	20171206_Rachid_Colon_M#20	condition3
20171206_Rachid_Colon_M#22	20171206_Rachid_Colon_M#22	condition3
20171206_Rachid_Colon_M#23	20171206_Rachid_Colon_M#23	condition3
20171206_Rachid_Colon_M#24	20171206_Rachid_Colon_M#24	condition3
20171206_Rachid_Colon_M#30	20171206_Rachid_Colon_M#30	condition3
