Raw file	Experiment	MS/MS	MS/MS Identified	MS/MS Identified [%]	Peptide Sequences Identified
20170922_Rachid_Colon_M#01	09_Colon_M#01	75856	18619	20.56	9634
20170922_Rachid_Colon_M#02	09_Colon_M#02	72665	18153	21.08	10010
20170922_Rachid_Colon_M#03	09_Colon_M#03	76700	19209	20.92	10762
20170922_Rachid_Colon_M#04	09_Colon_M#04	77534	12018	12.76	6902
20170922_Rachid_Colon_M#05	09_Colon_M#05	76680	20895	23.04	11873
20170922_Rachid_Colon_M#06	09_Colon_M#06	70124	15776	18.82	9381
20170922_Rachid_Colon_M#07	09_Colon_M#07	66821	16379	20.64	9129
20170922_Rachid_Colon_M#08	09_Colon_M#08	76305	18763	20.57	10664
20170922_Rachid_Colon_M#09	09_Colon_M#09	76018	19113	21.13	11085
20170922_Rachid_Colon_M#10	09_Colon_M#10	71975	17496	20.22	9444
20170922_Rachid_Colon_M#11	09_Colon_M#11	74906	20211	22.4	10434
20170922_Rachid_Colon_M#12	09_Colon_M#12	74633	18549	20.57	9481
20170922_Rachid_Colon_M#13	09_Colon_M#13	71628	17288	20.14	9278
20170922_Rachid_Colon_M#14	09_Colon_M#14	69675	17593	21.6	10299
20170922_Rachid_Colon_M#15	09_Colon_M#15	72615	18612	21.43	10223
20170922_Rachid_Colon_M#16	09_Colon_M#16	73081	19407	22.27	10256
20170922_Rachid_Colon_M#17	09_Colon_M#17	75678	20256	22.32	10270
20170922_Rachid_Colon_M#18	09_Colon_M#18	71453	17180	19.66	9019
20170922_Rachid_Colon_M#19	09_Colon_M#19	75047	19181	21.01	9873
20170922_Rachid_Colon_M#20	09_Colon_M#20	74508	20586	23.1	10680
20170922_Rachid_Colon_M#21	09_Colon_M#21	75880	17949	19.57	9265
20170922_Rachid_Colon_M#22	09_Colon_M#22	75657	19716	21.55	10243
20170922_Rachid_Colon_M#23	09_Colon_M#23	68168	17764	21.43	9639
20170922_Rachid_Colon_M#24	09_Colon_M#24	74724	18914	20.84	9288
20170922_Rachid_Colon_M#25	09_Colon_M#25	76261	19068	20.88	9834
20170922_Rachid_Colon_M#26	09_Colon_M#26	75273	20008	22.41	10435
20170922_Rachid_Colon_M#27	09_Colon_M#27	75502	19553	21.86	10208
20170922_Rachid_Colon_M#28	09_Colon_M#28	74040	20637	23.68	11012
20170922_Rachid_Colon_M#29	09_Colon_M#29	75439	21302	23.9	10865
20170922_Rachid_Colon_M#30	09_Colon_M#30	77644	20969	23	10541
20170922_Rachid_Colon_M#31	09_Colon_M#31	77501	22268	24.52	11393
20170922_Rachid_Colon_M#32	09_Colon_M#32	71861	18605	21.57	10910
20170922_Rachid_Colon_M#33	09_Colon_M#33	71993	17557	20.31	9996
20170922_Rachid_Colon_M#34	09_Colon_M#34	72224	18079	20.92	10895
20170922_Rachid_Colon_M#35	09_Colon_M#35	72766	18003	20.75	10025
20170922_Rachid_Colon_M#36	09_Colon_M#36	73193	17634	20.31	10135
20170922_Rachid_Colon_M#37	09_Colon_M#37	77395	20818	22.73	11022
20170922_Rachid_Colon_M#38	09_Colon_M#38	79577	22450	23.61	10965
20170922_Rachid_Colon_M#39	09_Colon_M#39	78399	18853	20.01	9597
20170922_Rachid_Colon_M#40	09_Colon_M#40	78205	22233	23.95	11129
20170922_Rachid_Colon_M#41	09_Colon_M#41	71318	16702	19.35	9019
20170922_Rachid_Colon_M#42	09_Colon_M#42	73001	20194	23.13	10573
20170922_Rachid_Colon_M#43	09_Colon_M#43	72847	18768	21.56	9767
20170922_Rachid_Colon_M#44	09_Colon_M#44	70723	18559	21.98	10135
