Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20170922_Rachid_Colon_M#01	09_Colon_M#01	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5194	75856	90570	61134	0	29436	18619	18048	0	571	20.56	29.52	NaN	1.94	9634	564106	49999	8.86	14884	29.77	74821	31347	30706	41.9	44.72	15096	48.16	+	0.60004	0.83952	0.41007	0.59177	
20170922_Rachid_Colon_M#02	09_Colon_M#02	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5006	72665	86095	59229	0	26866	18153	17819	0	334	21.08	30.08	NaN	1.24	10010	582979	49391	8.47	13695	27.73	81555	32171	31491	39.45	41.94	14439	44.88	+	0.57264	0.81023	0.38501	0.56388	
20170922_Rachid_Colon_M#03	09_Colon_M#03	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4924	76700	91815	61457	0	30358	19209	18740	0	469	20.92	30.49	NaN	1.54	10762	581220	52267	8.99	14089	26.96	83665	33666	32874	40.24	42.79	14940	44.38	+	0.56003	0.79987	0.38639	0.57038	
20170922_Rachid_Colon_M#04	09_Colon_M#04	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4797	77534	94202	60524	0	33678	12018	11533	0	485	12.76	19.06	NaN	1.44	6902	536706	51573	9.61	14337	27.8	79794	33090	32373	41.47	44.13	15248	46.08	+	0.61354	0.86504	0.43329	0.63029	
20170922_Rachid_Colon_M#05	09_Colon_M#05	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4692	76680	90691	62319	0	28372	20895	20271	0	624	23.04	32.53	NaN	2.2	11873	589290	52570	8.92	13976	26.59	91394	35602	34744	38.95	41.57	15191	42.67	+	0.56365	0.81072	0.3924	0.58542	
20170922_Rachid_Colon_M#06	09_Colon_M#06	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4555	70124	83814	56024	0	27790	15776	15361	0	415	18.82	27.42	NaN	1.49	9381	545570	47843	8.77	12521	26.17	80620	31469	30671	39.03	41.69	13414	42.63	+	0.53591	0.76773	0.36811	0.54844	
20170922_Rachid_Colon_M#07	09_Colon_M#07	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4646	66821	79370	54272	0	25098	16379	15908	0	471	20.64	29.31	NaN	1.88	9129	490407	46116	9.4	12093	26.22	69056	30005	29177	43.45	46.5	12972	43.23	+	0.61007	0.86557	0.42957	0.62496	
20170922_Rachid_Colon_M#08	09_Colon_M#08	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4739	76305	91219	61083	0	30136	18763	18346	0	417	20.57	30.03	NaN	1.38	10664	575976	51344	8.91	13934	27.14	85651	33509	32661	39.12	41.65	14636	43.68	+	0.56201	0.81051	0.38874	0.58244	
20170922_Rachid_Colon_M#09	09_Colon_M#09	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		4586	76018	90445	61203	0	29242	19113	18708	0	405	21.13	30.57	NaN	1.38	11085	588197	52032	8.85	13572	26.08	89195	34613	33779	38.81	41.38	14702	42.48	+	0.55944	0.80548	0.38868	0.57976	
20170922_Rachid_Colon_M#10	09_Colon_M#10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5009	71975	86513	57433	0	29080	17496	16996	0	500	20.22	29.59	NaN	1.72	9444	518133	48918	9.44	13295	27.18	70769	30924	30006	43.7	47.04	13921	45.02	+	0.57394	0.80647	0.39984	0.57692	
