Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides wash_long_column_for_test1	Peptides wash_long_column_for_test2	Razor + unique peptides wash_long_column_for_test1	Razor + unique peptides wash_long_column_for_test2	Unique peptides wash_long_column_for_test1	Unique peptides wash_long_column_for_test2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 0	Q-value	Score	Sequence coverage wash_long_column_for_test1 [%]	Sequence coverage wash_long_column_for_test2 [%]	Intensity	Intensity wash_long_column_for_test1	Intensity wash_long_column_for_test2	LFQ intensity wash_long_column_for_test1	LFQ intensity wash_long_column_for_test2	MS/MS count wash_long_column_for_test1	MS/MS count wash_long_column_for_test2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
2B-dyr19-06_GL0028590	2B-dyr19-06_GL0028590	1	1	1	2B-dyr19-06_GL0028590  [gene]  locus=scaffold4982_1:1503:5168:- [Complete] codon-table.11	1	1	1	1	1	1	1	1	1	1	0.7	0.7	0.7	142.41	1221	1221	0	2	0	9.773	0.7	0.7	50794000	25397000	25397000	25397000	25397000	1	1	2				0	9	True	9	18;19	18;19	18		
6-6_GL0057163;6-1_GL0099136	6-6_GL0057163;6-1_GL0099136	1;1	1;1	1;1	6-6_GL0057163  [gene]  locus=scaffold101402_1:393:809:+ [Lack 3-end] codon-table.11;6-1_GL0099136  [gene]  locus=scaffold52310_4:1:558:- [Lack 3-end] codon-table.11	2	1	1	1	1	1	1	1	1	1	12.2	12.2	12.2	15.066	139	139;186	0	2	0	10.546	12.2	12.2	0	0	0	0	0	1	1	2				1	13	True	13	26;27	26;27	26		
6-6_GL0095425	6-6_GL0095425	1	1	1	6-6_GL0095425  [gene]  locus=scaffold71423_4:15485:19357:- [Complete] codon-table.11	1	1	1	1	1	1	1	1	1	1	0.7	0.7	0.7	138.04	1290	1290	0	2	0	7.3776	0.7	0.7	95531000	47765000	47765000	47765000	47765000	1	1	2				2	1	True	1	2;3	2;3	2		
CON__ENSEMBL:ENSBTAP00000023055	CON__ENSEMBL:ENSBTAP00000023055	1	1	1		1	1	1	1	1	1	1	1	1	1	1.6	1.6	1.6	67.703	634	634	0	2	0	7.1416	1.6	1.6	20062000	10031000	10031000	10031000	10031000	1	1	2			+	3	5	True	5	10;11	10;11	10		
CON__P00711	CON__P00711	1	1	1		1	1	1	1	1	1	1	1	1	1	11.4	11.4	11.4	14.186	123	123	0	2	0	6.0158	11.4	11.4	0	0	0	0	0	1	1	2			+	4	7	True	7	14;15	14;15	14		
CON__P01966	CON__P01966	1	1	1		1	1	1	1	1	1	1	1	1	1	6.3	6.3	6.3	15.184	142	142	0	4	0	13.018	6.3	6.3	122140000	61070000	61070000	40417000	40417000	2	2	4			+	5	14	True	14;15	28;29;30;31	28;29;30;31	28	0	33
CON__P02070;CON__Q3SX09	CON__P02070;CON__Q3SX09	1;1	1;1	1;1	;	2	1	1	1	1	1	1	1	1	1	6.9	6.9	6.9	15.954	145	145;201	0	2	0	14.321	6.9	6.9	123440000	61718000	61718000	61718000	61718000	1	1	2			+	6	12	True	12	24;25	24;25	24		
CON__P02672	CON__P02672	1	1	1		1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	67.011	615	615	0	2	0	7.7081	1.3	1.3	22914000	11457000	11457000	11457000	11457000	1	1	2			+	7	10	True	10	20;21	20;21	20		
CON__P06868	CON__P06868	1	1	1		1	1	1	1	1	1	1	1	1	1	2.5	2.5	2.5	91.215	812	812	0	2	0	5.9025	2.5	2.5	0	0	0	0	0	1	1	2			+	8	4	True	4	8;9	8;9	8		
CON__P35900	CON__P35900	1	1	1		1	1	1	1	1	1	1	1	1	1	4.2	4.2	4.2	48.486	424	424	0	2	0	6.1081	4.2	4.2	27823000	13912000	13912000	0	13912000	0	0	0			+	9	6	True	6	12;13	12;13	12		
