"Group_ID","Name","Peptide count","Unique peptide count","E value","COG accession","COG name","COG category","NOG accession","NOG name","NOG category","KEGG accession","KEGG name","GOBP accession","GOBP name","GOCC accession","GOCC name","GOMF accession","GOMF name","MS2 count CYC","MS2 count ADV","MS2 count MAL","LFQ intensity CYC","LFQ intensity ADV","LFQ intensity MAL",
"1","1_GL0007681","1","1","0.0","COG0605","Superoxide dismutase(261)","Inorganic ion transport and metabolism","COG0605","Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)","Inorganic ion transport and metabolism","04146","Peroxisome ","GO:0009987; GO:0044710; GO:0006801; GO:0072593; GO:0008152; GO:0055114; GO:0044237 ","cellular process; single-organism metabolic process; superoxide metabolic process; reactive oxygen species metabolic process; metabolic process; oxidation-reduction process; cellular metabolic process ","","","GO:0003824; GO:0004784; GO:0005488; GO:0016209; GO:0016491; GO:0016721; GO:0043167; GO:0043169; GO:0046872 ","catalytic activity; superoxide dismutase activity; binding; antioxidant activity; oxidoreductase activity; oxidoreductase activity, acting on superoxide radicals as acceptor; ion binding; cation binding; metal ion binding ","0","0","0","0.0","0.0","0.0",
"2","1_GL0007800","2","2","0.0","COG0148","Enolase(689)","Carbohydrate transport and metabolism","COG0148","Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)","Carbohydrate transport and metabolism","00010","Glycolysis / Gluconeogenesis ","GO:0009987; GO:0019318; GO:0046365; GO:0044238; GO:0044723; GO:0071704; GO:0005975; GO:0044724; GO:0005996; GO:0009056; GO:0006007; GO:0019320; GO:0016052; GO:0006006; GO:0008152; GO:0006091; GO:1901575; GO:0006096; GO:0044237 ","cellular process; hexose metabolic process; monosaccharide catabolic process; primary metabolic process; single-organism carbohydrate metabolic process; organic substance metabolic process; carbohydrate metabolic process; single-organism carbohydrate catabolic process; monosaccharide metabolic process; catabolic process; glucose catabolic process; hexose catabolic process; carbohydrate catabolic process; glucose metabolic process; metabolic process; generation of precursor metabolites and energy; organic substance catabolic process; glycolysis; cellular metabolic process ","GO:0009986; GO:0032991; GO:0044444; GO:0044424; GO:0005623; GO:0044464; GO:0043234; GO:0000015; GO:0005829; GO:0044445; GO:0005576; GO:0005622; GO:0005737 ","cell surface; macromolecular complex; cytoplasmic part; intracellular part; cell; cell part; protein complex; phosphopyruvate hydratase complex; cytosol; cytosolic part; extracellular region; intracellular; cytoplasm ","GO:0000287; GO:0003824; GO:0004634; GO:0005488; GO:0016829; GO:0016835; GO:0016836; GO:0043167; GO:0043169; GO:0046872 ","magnesium ion binding; catalytic activity; phosphopyruvate hydratase activity; binding; lyase activity; carbon-oxygen lyase activity; hydro-lyase activity; ion binding; cation binding; metal ion binding ","0","0","0","4889200.0","6020400.0","0.0",
"3","G1-5A_GL0042510","2","2","0.0","COG4465","GTP-sensing pleiotropic transcriptional regulator CodY(235)","Transcription","COG0550","Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)","Replication, recombination and repair","03440","Homologous recombination ","GO:2000113; GO:0009259; GO:0090304; GO:0009116; GO:0009117; GO:0060255; GO:0009205; GO:0009261; GO:0019439; GO:1901658; GO:0006152; GO:0051172; GO:0006753; GO:0045934; GO:0019693; GO:0009119; GO:0034655; GO:0019438; GO:0046130; GO:0009166; GO:0019222; GO:0044271; GO:0048523; GO:0034641; GO:0051253; GO:0006259; GO:0009154; GO:0043170; GO:0019637; GO:1901657; GO:0042454; GO:0006200; GO:0009987; GO:0055086; GO:0044260; GO:1901576; GO:0031327; GO:1901135; GO:0009058; GO:0065007; GO:0044238; GO:0044281; GO:0050794; GO:0046128; GO:0006807; GO:0044710; GO:1901565; GO:0051252; GO:0006793; GO:0006351; GO:1901564; GO:1901136; GO:0050789; GO:0009890; GO:0009123; GO:0044249; GO:0009150; GO:0009203; GO:0009126; GO:0042278; GO:1901292; GO:0071103; GO:0009128; GO:0016070; GO:0034654; GO:0071704; GO:0009161; GO:0006139; GO:0010468; GO:0072523; GO:0044248; GO:1901361; GO:0009207; GO:0034645; GO:0009167; GO:0048519; GO:0009169; GO:0009143; GO:0045892; GO:0006725; GO:0031324; GO:0031323; GO:0032774; GO:0006265; GO:0009144; GO:0009056; GO:0010605; GO:0010558; GO:1901360; GO:0046700; GO:0080090; GO:0009892; GO:0009199; GO:0006163; GO:0010467; GO:0010629; GO:0031326; GO:0072521; GO:0008152; GO:0009158; GO:0051171; GO:0006796; GO:0046483; GO:1901575; GO:0009059; GO:0006355; GO:0046434; GO:2000112; GO:0010556; GO:0046034; GO:0006195; GO:0019219; GO:0009889; GO:0044237; GO:2001141; GO:0009164; GO:0009125; GO:0009141; GO:0018130; GO:0009146; GO:1901362; GO:0044270 ","negative regulation of cellular macromolecule biosynthetic process; ribonucleotide metabolic process; nucleic acid metabolic process; nucleoside metabolic process; nucleotide metabolic process; regulation of macromolecule metabolic process; purine ribonucleoside triphosphate metabolic process; ribonucleotide catabolic process; aromatic compound catabolic process; glycosyl compound catabolic process; purine nucleoside catabolic process; negative regulation of nitrogen compound metabolic process; nucleoside phosphate metabolic process; negative regulation of nucleobase-containing compound metabolic process; ribose phosphate metabolic process; ribonucleoside metabolic process; nucleobase-containing compound catabolic process; aromatic compound biosynthetic process; purine ribonucleoside catabolic process; nucleotide catabolic process; regulation of metabolic process; cellular nitrogen compound biosynthetic process; negative regulation of cellular process; cellular nitrogen compound metabolic process; negative regulation of RNA metabolic process; DNA metabolic process; purine ribonucleotide catabolic process; macromolecule metabolic process; organophosphate metabolic process; glycosyl compound metabolic process; ribonucleoside catabolic process; ATP catabolic process; cellular process; nucleobase-containing small molecule metabolic process; cellular macromolecule metabolic process; organic substance biosynthetic process; negative regulation of cellular biosynthetic process; carbohydrate derivative metabolic process; biosynthetic process; biological regulation; primary metabolic process; small molecule metabolic process; regulation of cellular process; purine ribonucleoside metabolic process; nitrogen compound metabolic process; single-organism metabolic process; organonitrogen compound catabolic process; regulation of RNA metabolic process; phosphorus metabolic process; transcription, DNA-dependent; organonitrogen compound metabolic process; carbohydrate derivative catabolic process; regulation of biological process; negative regulation of biosynthetic process; nucleoside monophosphate metabolic process; cellular biosynthetic process; purine ribonucleotide metabolic process; ribonucleoside triphosphate catabolic process; purine nucleoside monophosphate metabolic process; purine nucleoside metabolic process; nucleoside phosphate catabolic process; DNA conformation change; purine nucleoside monophosphate catabolic process; RNA metabolic process; nucleobase-containing compound biosynthetic process; organic substance metabolic process; ribonucleoside monophosphate metabolic process; nucleobase-containing compound metabolic process; regulation of gene expression; purine-containing compound catabolic process; cellular catabolic process; organic cyclic compound catabolic process; purine ribonucleoside triphosphate catabolic process; cellular macromolecule biosynthetic process; purine ribonucleoside monophosphate metabolic process; negative regulation of biological process; purine ribonucleoside monophosphate catabolic process; nucleoside triphosphate catabolic process; negative regulation of transcription, DNA-dependent; cellular aromatic compound metabolic process; negative regulation of cellular metabolic process; regulation of cellular metabolic process; RNA biosynthetic process; DNA topological change; purine nucleoside triphosphate metabolic process; catabolic process; negative regulation of macromolecule metabolic process; negative regulation of macromolecule biosynthetic process; organic cyclic compound metabolic process; heterocycle catabolic process; regulation of primary metabolic process; negative regulation of metabolic process; ribonucleoside triphosphate metabolic process; purine nucleotide metabolic process; gene expression; negative regulation of gene expression; regulation of cellular biosynthetic process; purine-containing compound metabolic process; metabolic process; ribonucleoside monophosphate catabolic process; regulation of nitrogen compound metabolic process; phosphate-containing compound metabolic process; heterocycle metabolic process; organic substance catabolic process; macromolecule biosynthetic process; regulation of transcription, DNA-dependent; organophosphate catabolic process; regulation of cellular macromolecule biosynthetic process; regulation of macromolecule biosynthetic process; ATP metabolic process; purine nucleotide catabolic process; regulation of nucleobase-containing compound metabolic process; regulation of biosynthetic process; cellular metabolic process; regulation of RNA biosynthetic process; nucleoside catabolic process; nucleoside monophosphate catabolic process; nucleoside triphosphate metabolic process; heterocycle biosynthetic process; purine nucleoside triphosphate catabolic process; organic cyclic compound biosynthetic process; cellular nitrogen compound catabolic process ","GO:0044424; GO:0043228; GO:0043226; GO:0005623; GO:0044464; GO:0043229; GO:0043232; GO:0005694; GO:0005622; GO:0005737 ","intracellular part; non-membrane-bounded organelle; organelle; cell; cell part; intracellular organelle; intracellular non-membrane-bounded organelle; chromosome; intracellular; cytoplasm ","GO:0000166; GO:0001071; GO:0001882; GO:0001883; GO:0003676; GO:0003677; GO:0003700; GO:0003824; GO:0003916; GO:0003917; GO:0003918; GO:0005488; GO:0005524; GO:0005525; GO:0008094; GO:0016462; GO:0016787; GO:0016817; GO:0016818; GO:0016853; GO:0016887; GO:0017076; GO:0017111; GO:0019001; GO:0030554; GO:0032549; GO:0032550; GO:0032553; GO:0032555; GO:0032559; GO:0032561; GO:0035639; GO:0036094; GO:0042623; GO:0043167; GO:0043168; GO:0043169; GO:0046872; GO:0061505; GO:0097159; GO:1901265; GO:1901363 ","nucleotide binding; nucleic acid binding transcription factor activity; nucleoside binding; purine nucleoside binding; nucleic acid binding; DNA binding; sequence-specific DNA binding transcription factor activity; catalytic activity; DNA topoisomerase activity; DNA topoisomerase type I activity; DNA topoisomerase type II (ATP-hydrolyzing) activity; binding; ATP binding; GTP binding; DNA-dependent ATPase activity; pyrophosphatase activity; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; isomerase activity; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; guanyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ATPase activity, coupled; ion binding; anion binding; cation binding; metal ion binding; DNA topoisomerase II activity; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding ","0","0","0","6613000.0","4897800.0","2784200.0",
"4","37_GL0018308","12","1","0.0","","","","0XNSZ","NA","Function unknown","","","","","","","","","0","0","0","2.7147E8","2.6175E8","2.9081E8",
"5","29_GL0040639","2","2","0.0","COG0809","S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)(787)","Translation, ribosomal structure and biogenesis","COG0343","Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)","Translation, ribosomal structure and biogenesis","","","GO:0090304; GO:0009116; GO:0009119; GO:0019438; GO:0044271; GO:0009451; GO:0034641; GO:0008033; GO:0043170; GO:1901657; GO:0046116; GO:0009987; GO:0055086; GO:0044260; GO:1901576; GO:0043412; GO:1901135; GO:0009058; GO:0044238; GO:0044281; GO:0006807; GO:0044710; GO:1901564; GO:0044249; GO:0008616; GO:0016070; GO:0034654; GO:0071704; GO:0006139; GO:0034470; GO:1901659; GO:1901137; GO:0006400; GO:0009163; GO:0006725; GO:1901360; GO:0034660; GO:1901566; GO:0010467; GO:0008152; GO:0006399; GO:0046483; GO:0044237; GO:0018130; GO:0006396; GO:1901362; GO:0042455 ","nucleic acid metabolic process; nucleoside metabolic process; ribonucleoside metabolic process; aromatic compound biosynthetic process; cellular nitrogen compound biosynthetic process; RNA modification; cellular nitrogen compound metabolic process; tRNA processing; macromolecule metabolic process; glycosyl compound metabolic process; queuosine metabolic process; cellular process; nucleobase-containing small molecule metabolic process; cellular macromolecule metabolic process; organic substance biosynthetic process; macromolecule modification; carbohydrate derivative metabolic process; biosynthetic process; primary metabolic process; small molecule metabolic process; nitrogen compound metabolic process; single-organism metabolic process; organonitrogen compound metabolic process; cellular biosynthetic process; queuosine biosynthetic process; RNA metabolic process; nucleobase-containing compound biosynthetic process; organic substance metabolic process; nucleobase-containing compound metabolic process; ncRNA processing; glycosyl compound biosynthetic process; carbohydrate derivative biosynthetic process; tRNA modification; nucleoside biosynthetic process; cellular aromatic compound metabolic process; organic cyclic compound metabolic process; ncRNA metabolic process; organonitrogen compound biosynthetic process; gene expression; metabolic process; tRNA metabolic process; heterocycle metabolic process; cellular metabolic process; heterocycle biosynthetic process; RNA processing; organic cyclic compound biosynthetic process; ribonucleoside biosynthetic process ","GO:0044424; GO:0005623; GO:0044464; GO:0005622; GO:0005737 ","intracellular part; cell; cell part; intracellular; cytoplasm ","GO:0003824; GO:0005488; GO:0008270; GO:0008479; GO:0016740; GO:0016757; GO:0016763; GO:0016853; GO:0043167; GO:0043169; GO:0046872; GO:0046914 ","catalytic activity; binding; zinc ion binding; queuine tRNA-ribosyltransferase activity; transferase activity; transferase activity, transferring glycosyl groups; transferase activity, transferring pentosyl groups; isomerase activity; ion binding; cation binding; metal ion binding; transition metal ion binding ","0","0","0","0.0","2522200.0","2643900.0",
"6","1_GL0050682","4","4","0.0","COG0057","Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase(698)","Carbohydrate transport and metabolism","COG0057","glyceraldehyde3phosphate dehydrogenase","Carbohydrate transport and metabolism","00010","Glycolysis / Gluconeogenesis ","GO:0042822; GO:0019637; GO:0009987; GO:0019318; GO:1901576; GO:0009058; GO:0046365; GO:0044238; GO:0044281; GO:0044710; GO:0006793; GO:0044723; GO:0044249; GO:0051186; GO:0071704; GO:0005975; GO:0042823; GO:0051188; GO:0044724; GO:0005996; GO:0009056; GO:0006007; GO:0006732; GO:0019320; GO:0016052; GO:0006006; GO:0008152; GO:0009108; GO:0006796; GO:0006091; GO:1901575; GO:0090407; GO:0055114; GO:0006096; GO:0044237 ","pyridoxal phosphate metabolic process; organophosphate metabolic process; cellular process; hexose metabolic process; organic substance biosynthetic process; biosynthetic process; monosaccharide catabolic process; primary metabolic process; small molecule metabolic process; single-organism metabolic process; phosphorus metabolic process; single-organism carbohydrate metabolic process; cellular biosynthetic process; cofactor metabolic process; organic substance metabolic process; carbohydrate metabolic process; pyridoxal phosphate biosynthetic process; cofactor biosynthetic process; single-organism carbohydrate catabolic process; monosaccharide metabolic process; catabolic process; glucose catabolic process; coenzyme metabolic process; hexose catabolic process; carbohydrate catabolic process; glucose metabolic process; metabolic process; coenzyme biosynthetic process; phosphate-containing compound metabolic process; generation of precursor metabolites and energy; organic substance catabolic process; organophosphate biosynthetic process; oxidation-reduction process; glycolysis; cellular metabolic process ","GO:0044424; GO:0005623; GO:0044464; GO:0005622; GO:0005737 ","intracellular part; cell; cell part; intracellular; cytoplasm ","GO:0000166; GO:0003824; GO:0004365; GO:0005488; GO:0016491; GO:0016620; GO:0016903; GO:0036094; GO:0048001; GO:0048037; GO:0050661; GO:0050662; GO:0051287; GO:0097159; GO:1901265; GO:1901363 ","nucleotide binding; catalytic activity; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; binding; oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on the aldehyde or oxo group of donors; small molecule binding; erythrose-4-phosphate dehydrogenase activity; cofactor binding; NADP binding; coenzyme binding; NAD binding; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding ","0","0","0","2.628E7","4.302E7","2.6366E7",
"7","MC-6-5_GL0015458","1","1","0.0055732","COG0200","Ribosomal protein L15(600)","Translation, ribosomal structure and biogenesis","COG0200","Binds to the 23S rRNA (By similarity)","Translation, ribosomal structure and biogenesis","03010","Ribosome ","GO:0043170; GO:0009987; GO:0044260; GO:1901576; GO:0006412; GO:0009058; GO:0044238; GO:0044267; GO:0044249; GO:0071704; GO:0034645; GO:0019538; GO:0010467; GO:0008152; GO:0009059; GO:0044237 ","macromolecule metabolic process; cellular process; cellular macromolecule metabolic process; organic substance biosynthetic process; translation; biosynthetic process; primary metabolic process; cellular protein metabolic process; cellular biosynthetic process; organic substance metabolic process; cellular macromolecule biosynthetic process; protein metabolic process; gene expression; metabolic process; macromolecule biosynthetic process; cellular metabolic process ","GO:0005840; GO:0044422; GO:0032991; GO:0044444; GO:0044424; GO:0043228; GO:0043226; GO:0005623; GO:0044464; GO:0044446; GO:0043229; GO:0044391; GO:0030529; GO:0043232; GO:0015934; GO:0005622; GO:0005737 ","ribosome; organelle part; macromolecular complex; cytoplasmic part; intracellular part; non-membrane-bounded organelle; organelle; cell; cell part; intracellular organelle part; intracellular organelle; ribosomal subunit; ribonucleoprotein complex; intracellular non-membrane-bounded organelle; large ribosomal subunit; intracellular; cytoplasm ","GO:0003676; GO:0003723; GO:0003735; GO:0005198; GO:0005488; GO:0019843; GO:0097159; GO:1901363 ","nucleic acid binding; RNA binding; structural constituent of ribosome; structural molecule activity; binding; rRNA binding; organic cyclic compound binding; heterocyclic compound binding ","0","0","0","0.0","0.0","4241800.0",
"8","1_GL0069988","1","1","0.0","COG0103","Ribosomal protein S9(565)","Translation, ribosomal structure and biogenesis","COG0103","30S ribosomal protein S9","Translation, ribosomal structure and biogenesis","03010","Ribosome ","GO:0043170; GO:0009987; GO:0044260; GO:1901576; GO:0006412; GO:0009058; GO:0044238; GO:0044267; GO:0044249; GO:0071704; GO:0034645; GO:0019538; GO:0010467; GO:0008152; GO:0009059; GO:0044237 ","macromolecule metabolic process; cellular process; cellular macromolecule metabolic process; organic substance biosynthetic process; translation; biosynthetic process; primary metabolic process; cellular protein metabolic process; cellular biosynthetic process; organic substance metabolic process; cellular macromolecule biosynthetic process; protein metabolic process; gene expression; metabolic process; macromolecule biosynthetic process; cellular metabolic process ","GO:0005840; GO:0032991; GO:0044444; GO:0044424; GO:0043228; GO:0043226; GO:0005623; GO:0044464; GO:0043229; GO:0030529; GO:0043232; GO:0005622; GO:0005737 ","ribosome; macromolecular complex; cytoplasmic part; intracellular part; non-membrane-bounded organelle; organelle; cell; cell part; intracellular organelle; ribonucleoprotein complex; intracellular non-membrane-bounded organelle; intracellular; cytoplasm ","GO:0003735; GO:0005198 ","structural constituent of ribosome; structural molecule activity ","0","0","0","0.0","0.0","0.0",
"9","1_GL0078153","2","2","0.0","COG1196","Chromosome segregation ATPase(4276)","Cell cycle control, cell division, chromosome partitioning","0YEY3","NA","Cell wall/membrane/envelope biogenesis","","","","","","","","","0","0","0","2.9324E7","9213200.0","8979300.0",
"10","1_GL0110017","1","1","0.0","COG1879","ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain(2232)","Carbohydrate transport and metabolism","COG1879","Periplasmic binding protein LacI transcriptional regulator","Carbohydrate transport and metabolism","02010","ABC transporters ","GO:0044699; GO:0044765; GO:0015749; GO:0051234; GO:0051179; GO:0071702; GO:0006810; GO:0008643 ","single-organism process; single-organism transport; monosaccharide transport; establishment of localization; localization; organic substance transport; transport; carbohydrate transport ","","","","","0","0","0","0.0","0.0","0.0",
