Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0AVT1;A0AVT1-2;H0Y8S8;H0Y9U5;A0AVT1-4;A0AVT1-3	A0AVT1;A0AVT1-2	7;5;2;1;1;1	7;5;2;1;1;1	7;5;2;1;1;1	Ubiquitin-like modifier-activating enzyme 6 ;Isoform 2 of Ubiquitin-like modifier-activating enzyme 6 	6	7	7	7	7.8	7.8	7.8	117.97	1052	1052;578;271;88;340;389	0	43.545	45323000	9				0	240;983;6685;10308;11927;12826;13735	True;True;True;True;True;True;True	241;1007;6836;10609;12264;13185;14117	398;1666;1667;11341;17601;20304;20305;21770;23332	454;1912;1913;12974;20028;23054;23055;24731;26524	454;1913;12974;20028;23054;24731;26524		
A0FGR8-4;H7BXI1;A0FGR8-2;A0FGR8;A0FGR8-6	A0FGR8-4;H7BXI1;A0FGR8-2;A0FGR8;A0FGR8-6	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Isoform 4 of Extended synaptotagmin-2 ;Extended synaptotagmin-2 (Fragment) ;Isoform 2 of Extended synaptotagmin-2 ;Extended synaptotagmin-2 ;Isoform 6 of Extended synaptotagmin-2 	5	1	1	1	1.7	1.7	1.7	59.403	527	527;884;893;921;942	0.00095465	6.7281	4050400	1				1	15367	True	15791	26125	29731	29731		
A1A528;O43264	A1A528;O43264	3;3	3;3	3;3	Centromere/kinetochore protein zw10 homolog ;Centromere/kinetochore protein zw10 homolog 	2	3	3	3	4.3	4.3	4.3	76.806	672	672;779	0	17.414	8848800	3				2	2374;9560;10642	True;True;True	2433;9778;10950	4038;16238;18183	4624;18485;20709	4624;18485;20709		
Q99798;A2A274	Q99798;A2A274	15;15	15;15	15;15	Aconitate hydratase, mitochondrial ;Aconitate hydratase, mitochondrial 	2	15	15	15	25.5	25.5	25.5	85.424	780	780;805	0	110.64	252520000	18				3	769;1930;1993;2144;2877;4062;4063;6978;8972;10900;12471;13959;14004;14293;15505	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	789;1975;2040;2193;2943;4151;4152;7137;9174;11215;12823;14350;14395;14690;15934	1311;1312;3280;3382;3634;4896;6804;6805;6806;11834;11835;15270;18633;21195;21196;23724;23725;23799;24307;24308;26348	1499;1500;3758;3870;4149;5573;7728;7729;7730;13546;13547;17412;21226;24080;24081;26985;26986;27077;27673;27674;29973	1500;3758;3870;4149;5573;7728;7730;13546;17412;21226;24081;26985;27077;27674;29973		
S4R350;Q9Y672;A2A2G4	S4R350;Q9Y672;A2A2G4	1;1;1	1;1;1	1;1;1	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase ;Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase ;Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase 	3	1	1	1	4.6	4.6	4.6	32.235	281	281;507;509	0.0014218	6.6649	6228100	1				4	3887	True	3970	6541	7432	7432		
A2A2Y8;Q9UMD9-2;Q9UMD9	A2A2Y8;Q9UMD9-2;Q9UMD9	1;1;1	1;1;1	1;1;1	Collagen alpha-1(XVII) chain ;Isoform 2 of Collagen alpha-1(XVII) chain ;Collagen alpha-1(XVII) chain 	3	1	1	1	2.2	2.2	2.2	44.075	417	417;1415;1497	0.0036364	6.3291	13320000	1				5	9154	True	9362	15558	17733	17733		
P35611-2;E7EV99;A2A3N8;E7ENY0;P35611;P35611-3;P35611-4;D6RF25;H0Y9H2;D6RJE2;D6RAH3	P35611-2;E7EV99;A2A3N8;E7ENY0;P35611;P35611-3;P35611-4;D6RF25;H0Y9H2	4;4;4;4;4;4;3;2;2;1;1	4;4;4;4;4;4;3;2;2;1;1	4;4;4;4;4;4;3;2;2;1;1	Isoform 2 of Alpha-adducin ;Alpha-adducin ;Adducin 1 (Alpha) ;Alpha-adducin ;Alpha-adducin ;Isoform 3 of Alpha-adducin ;Isoform 4 of Alpha-adducin ;Alpha-adducin (Fragment) ;Alpha-adducin (Fragment) 	11	4	4	4	8.6	8.6	8.6	69.984	631	631;632;662;663;737;768;662;142;444;69;137	0	24.131	39010000	4				6	6564;12307;13633;15614	True;True;True;True	6713;12656;14013;16044	11140;20929;23150;23151;26521	12739;23782;26307;26308;30160	12739;23782;26307;30160		
A2AB13;A2AB11;A2AB12;A2AB10;B4DVY7;O75955	A2AB13;A2AB11;A2AB12;A2AB10;B4DVY7;O75955	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Flotillin-1 (Fragment) ;Flotillin-1 (Fragment) ;Flotillin-1 (Fragment) ;Flotillin-1 (Fragment) ;Flotillin-1 ;Flotillin-1 	6	1	1	1	5.9	5.9	5.9	20.482	185	185;192;235;252;379;427	0.0014231	6.6778	2575200	1				7	6748	True	6901	11449	13106	13106		
Q31612;P10321;Q95604;A2AEA2;Q29960-2;P10316;Q29963;Q29960;Q07000;P30508;P30501;F8W9Z8;F6U0H7;Q95365;Q31610;Q29940;Q29836;Q29718;P30685;P30498;P30495;P30493;P30492;P30491;P30490;P30486;P30484;P30480;P30475;P30466;P30464;P30462;P30460;P18465;P18464;P18463;P10319;P03989;P01889;P01893;P30512;P30457;P30456;P30453;P30450;P30447;P18462;P16190;P16189;P16188;P13746;P05534;P01891;Q29865;P30510;P30504;P04222;Q9TNN7;P30505;P13746-2;A2BF26	Q31612;P10321;Q95604;A2AEA2;Q29960-2;P10316;Q29963;Q29960;Q07000;P30508;P30501	3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	HLA class I histocompatibility antigen, B-73 alpha chain ;HLA class I histocompatibility antigen, Cw-7 alpha chain ;HLA class I histocompatibility antigen, Cw-17 alpha chain ;HLA class I histocompatibility antigen, Cw-14 alpha chain ;Isoform 2 of HLA class	61	3	3	0	12.7	12.7	0	40.435	363	363;366;372;372;326;365;366;366;366;366;366;131;246;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;365;365;365;365;365;365;365;365;365;365;365;365;365;366;366;366;366;366;366;371;397	0	19.955	8761000	2				8	1948;3697;15381	True;True;True	1994;3777;15805	3316;6230;26149	3800;7075;29757	3800;7075;29757		
A2IDA3;P29372-5;P29372-4;P29372-2;P29372	A2IDA3;P29372-5;P29372-4;P29372-2;P29372	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	DNA-3-methyladenine glycosylase (Fragment) ;Isoform 4 of DNA-3-methyladenine glycosylase ;Isoform 3 of DNA-3-methyladenine glycosylase ;Isoform 2 of DNA-3-methyladenine glycosylase ;DNA-3-methyladenine glycosylase 	5	2	2	2	13.1	13.1	13.1	27.295	251	251;281;293;293;298	0	10.578	8561300	2				9	6906;8234	True;True	7064;8421	11714;14057	13414;16017	13414;16017		
Q9H963;Q8N782;B4DSE6;Q8NCK3;J3KR62;Q9NV72;Q5VIY5-2;Q9Y5A6;J3KR51;P0CJ79;A2RRD8;Q5VIY5;Q7L2R6;F5GZM6;Q96NL3;Q96N58;Q6ZN06;A6NHJ4;Q0VGE8;P17035-2;Q86XN6-3;Q86XN6-2;P17035;Q86XN6;Q9P0L1;Q9UJW7-2;Q9UJW7;Q8N4W9-2;J3QSW3;Q8NB50-3;Q8NB50;Q8N4W9;Q96IR2;Q05481-2;Q05481	Q9H963;Q8N782;B4DSE6;Q8NCK3;J3KR62;Q9NV72;Q5VIY5-2;Q9Y5A6;J3KR51;P0CJ79;A2RRD8;Q5VIY5;Q7L2R6;F5GZM6;Q96NL3;Q96N58;Q6ZN06;A6NHJ4;Q0VGE8;P17035-2;Q86XN6-3;Q86XN6-2;P17035;Q86XN6;Q9P0L1;Q9UJW7-2;Q9UJW7;Q8N4W9-2;J3QSW3;Q8NB50-3;Q8NB50;Q8N4W9;Q96IR2;Q05481-2;Q05481	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Putative zinc finger protein 702 ;Zinc finger protein 525 ;Zinc finger protein 485 ;Zinc finger protein 485 ;Zinc finger protein 525 ;Zinc finger protein 701 ;Isoform 2 of Zinc finger protein 468 ;Zinc finger and SCAN domain-containing protein 21 ;HCG17875	35	1	1	1	7	7	7	15.019	129	129;197;350;441;443;465;469;473;479;500;509;522;523;531;588;590;617;632;651;665;692;718;718;746;754;819;825;834;840;867;900;903;970;1159;1191	0.0014085	6.5917	9029000	1				10	8349	True	8537	14247;14248	16235;16236	16236		
A3KFL4;Q13868;A3KFL5;Q13868-2;A3KFL2;A3KFL1	A3KFL4;Q13868;A3KFL5;Q13868-2;A3KFL2;A3KFL1	6;6;5;5;5;4	6;6;5;5;5;4	6;6;5;5;5;4	Exosome complex component RRP4 ;Exosome complex component RRP4 ;Exosome complex component RRP4 (Fragment) ;Isoform 2 of Exosome complex component RRP4 ;Exosome complex component RRP4 ;Exosome complex component RRP4 (Fragment) 	6	6	6	6	28.1	28.1	28.1	29.408	263	263;293;237;267;285;200	0	38.693	46167000	6				11	5625;8277;8367;10370;11692;15748	True;True;True;True;True;True	5740;8464;8555;10673;12024;16180	9493;14129;14279;17703;19918;26752;26753	10807;16096;16274;20146;22626;30414;30415	10807;16096;16274;20146;22626;30415		
A5YKK6-2;A5YKK6;B5MDN3;A5YKK6-3;A5YKK6-4;H3BTH2;H3BNB1;H3BVC9;H3BMZ2	A5YKK6-2;A5YKK6;B5MDN3;A5YKK6-3	5;5;4;3;2;1;1;1;1	5;5;4;3;2;1;1;1;1	5;5;4;3;2;1;1;1;1	Isoform 2 of CCR4-NOT transcription complex subunit 1 ;CCR4-NOT transcription complex subunit 1 ;CCR4-NOT transcription complex subunit 1 ;Isoform 3 of CCR4-NOT transcription complex subunit 1 	9	5	5	5	2.3	2.3	2.3	266.38	2371	2371;2376;1227;2150;1551;68;185;241;439	0	34.928	23134000	7				12	1815;5805;6902;12442;15816	True;True;True;True;True	1856;5925;7060;12794;16248	3076;3077;9837;11707;11708;21148;26879;26880	3523;3524;11197;13407;13408;24028;30552;30553	3523;11197;13407;24028;30553		
A6NDG6;H3BV17	A6NDG6	5;1	5;1	5;1	Phosphoglycolate phosphatase 	2	5	5	5	20.6	20.6	20.6	34.006	321	321;57	0	37.376	48899000	5				13	1528;1627;3868;4549;13246	True;True;True;True;True	1563;1663;3951;4645;13617	2609;2774;6508;6509;7597;22495	3000;3190;7388;7389;8636;25569	3000;3190;7389;8636;25569		
P51610-2;P51610;P51610-4;A6NEM2;P51610-3;H7C1C4	P51610-2;P51610;P51610-4;A6NEM2	11;11;11;11;5;3	11;11;11;11;5;3	11;11;11;11;5;3	Isoform 2 of Host cell factor 1 ;Host cell factor 1 ;Isoform 4 of Host cell factor 1 ;HCF N-terminal chain 5 	6	11	11	11	7.7	7.7	7.7	201.85	1966	1966;2035;2079;2080;428;611	0	75.622	150650000	15				14	1297;2236;3258;5070;5084;9716;12415;13989;14800;15329;15975	True;True;True;True;True;True;True;True;True;True;True	1328;2287;3330;5177;5192;9937;12767;14380;15215;15752;16412	2213;2214;3791;5529;5530;8535;8556;16510;21109;23775;25178;26061;26062;27131;27132	2545;2546;4334;6291;6292;9727;9728;9751;18802;23983;27050;28657;29662;29663;30835;30836	2545;4334;6292;9728;9751;18802;23983;27050;28657;29662;30836		
O95861-4;A6NF51;O95861;O95861-2;F8VVW8;F8VZG4;F8W1J0;O95861-3	O95861-4;A6NF51;O95861;O95861-2;F8VVW8;F8VZG4;F8W1J0;O95861-3	4;4;4;4;2;2;2;2	4;4;4;4;2;2;2;2	4;4;4;4;2;2;2;2	Isoform 4 of 3(2),5-bisphosphate nucleotidase 1 ;3(2),5-bisphosphate nucleotidase 1 ;3(2),5-bisphosphate nucleotidase 1 ;Isoform 2 of 3(2),5-bisphosphate nucleotidase 1 ;3(2),5-bisphosphate nucleotidase 1 (Fragment) ;3(2),5-bisphosphate n	8	4	4	4	19.1	19.1	19.1	29.188	272	272;291;308;325;128;136;170;253	0	26.689	27772000	5				15	7793;9358;9488;9622	True;True;True;True	7967;9570;9706;9842	13317;15898;16121;16122;16357	15188;18102;18359;18360;18627	15188;18102;18359;18627		
Q92599-2;A6NMH6;A6NFQ9;Q92599-4;F8W8I8;Q92599;Q92599-3;C9J4G8;C9JV02	Q92599-2;A6NMH6;A6NFQ9;Q92599-4;F8W8I8;Q92599;Q92599-3	3;3;3;3;3;3;2;1;1	2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;1;1;1	Isoform 2 of Septin-8 ;Septin-8 ;Septin-8 ;Isoform 4 of Septin-8 ;Septin-8 ;Septin-8 ;Isoform 3 of Septin-8 	9	3	2	2	7.5	5.8	5.8	49.814	429	429;430;440;442;460;483;369;97;130	0	14.339	8324600	2				16	4169;9200;14847	True;True;False	4259;9409;15264	6971;15631;25252	7918;17812;28743	7918;17812;28743		
Q9UKK9;A6NFX8;A6NCQ0;A6NJU6;H0YEY4;C9JYY9	Q9UKK9;A6NFX8;A6NCQ0;A6NJU6	9;9;6;6;4;2	9;9;6;6;4;2	9;9;6;6;4;2	ADP-sugar pyrophosphatase ;ADP-sugar pyrophosphatase ;ADP-sugar pyrophosphatase ;ADP-sugar pyrophosphatase 	6	9	9	9	42.9	42.9	42.9	24.327	219	219;232;180;186;137;97	0	57.263	155740000	10				17	3060;3305;5464;7150;7890;11377;13354;13823;15364	True;True;True;True;True;True;True;True;True	3128;3378;5578;7314;8068;11701;13726;14210;15788	5201;5607;9192;9193;12153;13494;19373;22683;22684;23500;26120;26121	5930;6377;10467;10468;13903;15388;22042;25786;25787;26740;29726;29727	5930;6377;10468;13903;15388;22042;25787;26740;29727		
K7EIN1;K7ESN4;K7EIJ0;K7EIK1;K7ENL2;A6NG10;K7EMC9;Q969T9	K7EIN1;K7ESN4;K7EIJ0;K7EIK1;K7ENL2;A6NG10;K7EMC9;Q969T9	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	WW domain-binding protein 2 (Fragment) ;WW domain-binding protein 2 (Fragment) ;WW domain-binding protein 2 (Fragment) ;WW domain-binding protein 2 (Fragment) ;WW domain-binding protein 2 ;WW domain-binding protein 2 ;WW domain-binding protein 2 ;WW domain	8	1	1	1	8.8	8.8	8.8	11.967	114	114;152;167;205;231;239;257;261	0.00049044	7.3049	8568400	1				18	10089	True	10358	17192	19571	19571		
A6NGP5;Q9H910;B4DLH4;H3BU16;Q9H910-2;H3BMV3;H3BMT0;H3BTV5;H3BMM8;B4E1P3	A6NGP5;Q9H910;B4DLH4;H3BU16;Q9H910-2;H3BMV3;H3BMT0;H3BTV5	6;6;6;5;5;5;4;4;2;2	6;6;6;5;5;5;4;4;2;2	6;6;6;5;5;5;4;4;2;2	Hematological and neurological-expressed 1-like protein ;Hematological and neurological expressed 1-like protein ;Hematological and neurological-expressed 1-like protein ;Hematological and neurological-expressed 1-like protein (Fragment) ;Isoform 2 of Hema	10	6	6	6	55.6	55.6	55.6	18.906	178	178;190;218;167;174;190;115;116;70;98	0	50.676	130930000	10				19	1074;2001;5181;9797;12094;13592	True;True;True;True;True;True	1102;2048;5289;10021;12439;13972	1836;3396;8708;8709;16632;16633;20588;23083;23084	2115;3885;9915;9916;18933;18934;23381;26233;26234;26235	2115;3885;9916;18934;23381;26233		
A6NHQ2;R4GMW7	A6NHQ2;R4GMW7	2;2	1;1	1;1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 ;rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 	2	2	1	1	6.6	3.3	3.3	34.675	333	333;334	0.003638	6.3304	55370000	1				20	6876;13471	False;True	7033;13851	11663;11664;11665;22897	13360;13361;13362;13363;26036	13360;26036		
J3KTL8;A6NHR9-2;A6NHR9;A6NHR9-3	J3KTL8;A6NHR9-2;A6NHR9;A6NHR9-3	4;4;4;3	4;4;4;3	4;4;4;3	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (Fragment) ;Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1 ;Structural maintenance of chromosomes flexible hinge domain-containi	4	4	4	4	3.4	3.4	3.4	155.65	1388	1388;1917;2005;762	0	23.568	11781000	4				21	8713;9697;13389;13659	True;True;True;True	8906;9918;13764;14039	14854;16482;22742;23195	16933;18769;25857;26354	16933;18769;25857;26354		
A6NHS7	A6NHS7	1	1	1	MANSC domain-containing protein 4 	1	1	1	1	2.1	2.1	2.1	37.879	340	340	0.0083224	5.9714	23210000	3				22	8161	True	8345	13925;13926	15874;15875;15876	15876		
C9J6N9;C9JNP9;C9IZG3;Q92890-3;A6NJ11;Q92890;Q92890-1	C9J6N9;C9JNP9;C9IZG3;Q92890-3;A6NJ11;Q92890;Q92890-1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Ubiquitin fusion degradation protein 1 homolog (Fragment) ;Ubiquitin fusion degradation protein 1 homolog (Fragment) ;Ubiquitin fusion degradation protein 1 homolog (Fragment) ;Isoform 3 of Ubiquitin fusion degradation protein 1 homolog ;Ubiquitin fusion d	7	1	1	1	11.1	11.1	11.1	15.372	135	135;159;190;266;296;307;343	0.0014272	6.704	5958900	1				23	4110	True	4199	6872	7816	7816		
A6NJA2;P54578-2;B7Z4N8;P54578;J3QQT6;J3KS55	A6NJA2;P54578-2;B7Z4N8;P54578;J3QQT6;J3KS55	2;2;2;2;1;1	2;2;2;2;1;1	2;2;2;2;1;1	Ubiquitin carboxyl-terminal hydrolase ;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 14 ;Ubiquitin carboxyl-terminal hydrolase ;Ubiquitin carboxyl-terminal hydrolase 14 ;Ubiquitin carboxyl-terminal hydrolase 14 (Fragment) ;Ubiquitin carboxyl-terminal 	6	2	2	2	5.4	5.4	5.4	51.086	448	448;459;483;494;20;28	0	16.5	26874000	3				24	1237;11639	True;True	1267;11968	2108;19822;19823	2418;22524;22525	2418;22524		
H7C2P7;Q16540;A6NJD9;A8MVT4;A8MYK1	H7C2P7;Q16540;A6NJD9;A8MVT4;A8MYK1	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	39S ribosomal protein L23, mitochondrial (Fragment) ;39S ribosomal protein L23, mitochondrial ;39S ribosomal protein L23, mitochondrial ;39S ribosomal protein L23, mitochondrial ;39S ribosomal protein L23, mitochondrial 	5	2	2	2	31.4	31.4	31.4	13.669	118	118;153;163;166;191	0	25.926	19484000	2				25	11001;13468	True;True	11320;13847	18793;22890	21407;26027	21407;26027		
